,Unnamed: 0,Date,Bitcoin_Close,Bitcoin_Return,Bitcoin_Vol,BNB_Close,BNB_Return,BNB_Vol,Doge_Close,Doge_Return,Doge_Vol,Ethereum_Close,Ethereum_Return,Ethereum_Vol,weight,weighted conviction,normalized weighted conviction,conviction avg,conviction std,weighted conviction avg,weighted conviction std
1507,1092,2020-08-01,11941.5,0.0486222097332234,0.0297285229619112,22.091,0.0631202055882269,0.0337399680590237,0.003623,0.1079510703363915,0.0442441948406588,404.77,0.1476976295792218,0.0600371224885232,404.0,330.1708365,0.8172545458663366,0.815775373,0.2401650380573609,8.923536122432433,16.80942820406898
1514,1098,2020-08-02,11157.1,-0.0656868902566678,0.044815026612724,21.029,-0.0480738762391924,0.0385353639579204,0.003402,-0.0609991719569417,0.0525360511699774,380.44,-0.0601082096005138,0.0689694954162463,735.0,370.807673,0.5045002353333333,0.708876018,0.3736697622102878,4.577872505802469,15.82733847496456
1521,1104,2020-08-03,11254.1,0.0086940154699697,0.0365049361957013,21.9109,0.0419373246469163,0.0385953202745669,0.003387,-0.0044091710758378,0.0519261205086033,389.43,0.023630533066975,0.065451070625171,24.0,17.65144294,0.7354767891666666,0.623515828,0.3800375351619783,3.530288588,6.589293528129275
1527,1110,2020-08-04,11221.5,-0.0028967220835073,0.0366111819714864,22.8595,0.0432935205765165,0.040056847257823,0.003575,0.0555063478004134,0.0545206886773048,388.81,-0.0015920704619571,0.0651143291552429,286.0,251.5587847,0.8795761703846154,0.8486254326666667,0.077295457,16.770585648666668,34.45997455822701
1535,1116,2020-08-05,11653.3,0.0384797041393751,0.0388584158980482,22.8924,0.0014392265797589,0.0372786575314878,0.00347,-0.0293706293706293,0.055506308668624,395.63,0.0175407011136543,0.0641132082617266,133.0,96.05644072,0.7222288775939849,0.764398008,0.195889417,3.4305871685714284,6.716838073329478
1543,1122,2020-08-06,11850.5,0.0169222452009303,0.0386475583166848,22.7922,-0.0043769984798447,0.0384229246908402,0.003604,0.0386167146974063,0.0561749085217715,395.91,0.0007077319717918,0.065116365565185,151.0,98.60398119,0.6530064979470198,0.8140134930769231,0.1446737985129581,3.792460815,5.181938653898764
1549,1127,2020-08-07,11549.1,-0.0254335260115606,0.0390017451378046,21.941,-0.0373461096339976,0.0424855204785883,0.003494,-0.0305216426193117,0.0590454041030533,378.28,-0.044530322548054,0.0674379779179158,7.0,6.09922222,0.87131746,0.854090978,0.085005634,1.524805555,0.5304195012468026
1555,1132,2020-08-08,11743.6,0.0168411391363829,0.0343313307797123,22.8473,0.0413062303450162,0.0384232884487694,0.003482,-0.0034344590726961,0.0407173253360362,395.53,0.0456011420112085,0.0376260074919016,121.0,105.202593,0.8694429175206612,0.8463711,0.1098040860770943,5.53697858,9.688667169539142
1561,1137,2020-08-09,12008.2,0.0225314213699376,0.0203414307733999,22.7481,-0.0043418697176471,0.0311330237494808,0.003488,0.0017231476163126,0.0323721360954791,397.7,0.0054863095087605,0.0278332740150835,735.0,428.1316835,0.5824920863265306,0.6721003034146341,0.4658112932582967,10.442236181707315,25.77563651515685
1568,1143,2020-08-10,11823.1,-0.0154144667810329,0.0226538968293613,22.39,-0.015741974054976,0.0293804700573312,0.003541,0.0151949541284401,0.032369798304926,393.84,-0.0097058083982901,0.0272988476502854,542.0,301.7466953,0.5567282200553505,0.6812022249999999,0.4316851168000267,10.058223175666663,24.897741259712337
1575,1149,2020-08-11,11354.3,-0.0396511913119234,0.0288268214269424,20.9635,-0.063711478338544,0.0328359905862671,0.003367,-0.049138661395086,0.0302288540052651,376.63,-0.0436979484054438,0.0323717139517967,93.0,79.84340166,0.8585312006451613,0.8133272523076923,0.1802614307293959,3.0709000638461537,8.426475791134004
1579,1153,2020-08-12,11575.9,0.0195168350316621,0.0255346370761404,21.5119,0.0261597538578959,0.0357043427157035,0.003493,0.0374220374220373,0.0328369589121419,393.41,0.0445530095850039,0.0366999978187252,516.0,279.7787373,0.5422068552131782,0.6786344697826088,0.3424717551191121,6.082146462826087,19.776762928755844
1585,1158,2020-08-13,11735.7,0.0138045421954233,0.0252016700200663,21.557,0.0020965140224711,0.0359059501043134,0.003466,-0.0077297452046951,0.0284658552176823,421.53,0.0714775933504485,0.0456553559592333,3278.0,1396.335173,0.425971682,0.642569243,0.2897556028323113,87.27094829,344.1299249338934
1586,1158,2020-08-13,11735.7,0.0138045421954233,0.0252016700200663,21.557,0.0020965140224711,0.0359059501043134,0.003466,-0.0077297452046951,0.0284658552176823,421.53,0.0714775933504485,0.0456553559592333,397.0,290.0749771,0.7306674486397985,0.6824513696666668,0.428668508,9.669165903666668,20.87422648296498
1592,1163,2020-08-14,11865.4,0.0110517480849032,0.0230116592232325,23.063,0.0698612979542607,0.0431263114933197,0.003515,0.014137334102712,0.0268040269584934,438.73,0.0408037387611797,0.0397102155787192,228.0,186.0811791,0.816145523,0.7779618166666666,0.2358074215060259,6.202705971,13.910126064194548
1599,1168,2020-08-15,11904.6,0.0033037234311528,0.0223206134537031,22.9918,-0.0030871959415512,0.0405927775741011,0.003534,0.0054054054054053,0.0267592611510671,427.6,-0.0253686777744854,0.041711626215673,2.0,1.4369204,0.7184602,0.7184602,0.057174052,0.7184602,0.057174052
1604,1173,2020-08-16,11857.3,-0.003973254036255,0.02046010390346,23.2448,0.0110039231378142,0.0406324458324392,0.003506,-0.0079230333899263,0.0270485786521187,426.95,-0.0015201122544434,0.0419754027096077,686.0,426.22970667,0.6213261030174928,0.7880618128571428,0.2953991637342884,8.698565442244899,21.97006538022268
1609,1177,2020-08-17,12283.0,0.0359019338297927,0.0236411740605857,23.3891,0.0062078400330396,0.0397097285782084,0.003669,0.0464917284654877,0.0319231738567944,429.52,0.0060194402154818,0.0410982857441118,1024.0,472.7153786500001,0.4616361119628906,0.7452968315555555,0.3496917153500246,10.504786192222223,43.71201691354396
1614,1181,2020-08-18,11855.9,-0.0347716355939102,0.0221027004669084,22.5586,-0.0355079930394928,0.0320368012804037,0.003483,-0.0506950122649223,0.0323696298668207,417.19,-0.0287064630284968,0.037907019515733,806.0,707.2549433,0.8774875226426799,0.755045465,0.3412509565347975,35.36274716,76.29310733
1613,1181,2020-08-18,11855.9,-0.0347716355939102,0.0221027004669084,22.5586,-0.0355079930394928,0.0320368012804037,0.003483,-0.0506950122649223,0.0323696298668207,417.19,-0.0287064630284968,0.037907019515733,3669.0,1556.94006,0.4243499755137639,0.4700780479999999,0.7017245639536697,311.388012,694.7607588766019
1620,1185,2020-08-19,11718.0,-0.0116313396705437,0.0221583484298633,22.2685,-0.0128598405929445,0.0323448750148201,0.0034,-0.0238300315819696,0.0304621893486149,408.02,-0.0219803926268606,0.0376969729902697,647.0,371.9951369,0.5749538436939722,0.7125027697222222,0.2845206825417387,10.33319824638889,28.62889603167012
1621,1185,2020-08-19,11718.0,-0.0116313396705437,0.0221583484298633,22.2685,-0.0128598405929445,0.0323448750148201,0.0034,-0.0238300315819696,0.0304621893486149,408.02,-0.0219803926268606,0.0376969729902697,31.0,26.82108802,0.8651963877419355,0.8437890190000001,0.115434698185141,2.682108802,1.5718916172675723
1627,1189,2020-08-20,11847.5,0.0110513739545996,0.0219362884918623,23.0724,0.0361003210813479,0.0342646385088041,0.003469,0.0202941176470587,0.0316251286942251,414.28,0.0153423851771972,0.0253499585798462,34.0,25.79240099,0.7586000291176471,0.710602106,0.3691166778008792,1.28962005,1.276296165214647
1633,1193,2020-08-21,11468.1,-0.0320236336779911,0.0246983682132749,21.9131,-0.0502461815849238,0.0291226095178558,0.003375,-0.0270971461516287,0.0325015476026901,384.91,-0.0708940812976729,0.0287013723039235,629.0,388.1761053,0.6171321228934817,0.7951443781034482,0.2750125878987289,6.692691470689655,17.60506931063938
1637,1197,2020-08-22,11591.8,0.0107864423923753,0.0252527528946794,21.9904,0.0035275702661878,0.0293736638516119,0.003397,0.0065185185185185,0.0325655211913586,389.87,0.0128861292250135,0.0306738651974244,135.0,116.64839817,0.8640622086666667,0.827314679,0.2379545311945334,7.290524885625,12.471719912817065
1642,1201,2020-08-23,11666.8,0.0064700909263444,0.0255286935605826,22.2581,0.012173493888242,0.029489389143767,0.003422,0.0073594347954077,0.0328616894562123,392.81,0.0075409751968604,0.031406402605072,33.0,27.81968307,0.843020699,0.757338216,0.2955957460952403,1.6364519452941175,2.6664204670884284
1647,1205,2020-08-24,11690.4,0.0020228340247541,0.0196801212388398,22.2728,0.0006604337297433,0.0291858686609641,0.003402,-0.0058445353594389,0.0246553861794879,402.08,0.0235991955398284,0.03365384996995,984.0,509.53194453,0.5178170167987806,0.7708713254838709,0.2082497749026473,16.43651433967742,47.73478920393982
1652,1209,2020-08-25,11350.2,-0.0291008006569492,0.0184163229915403,21.9021,-0.0166436191228762,0.0268483281489629,0.003279,-0.0361552028218695,0.021050830973966,384.69,-0.0432500994826899,0.0354806776520062,447.0,128.3649468,0.2871699032885906,0.5992582218181818,0.4529712545731886,3.8898468718181816,23.39135878331708
1659,1213,2020-08-26,11401.6,0.0045285545629152,0.0186134386390075,22.2971,0.0180348003159513,0.0276567998134369,0.003301,0.0067093626105521,0.0204751943366289,384.65,-0.0001039798279134,0.0353117807326984,600.0,317.2884506,0.528814084,0.758111483,0.2498660585322965,10.57628169,30.86221019185491
1665,1217,2020-08-27,11368.0,-0.0029469548133596,0.0174750819564047,23.3408,0.0468087778231249,0.0301380244381129,0.003212,-0.0269615268100575,0.0188436833911567,386.73,0.0054075133238009,0.0344129482097542,20.0,16.16718534,0.8083592669999999,0.7124711873684211,0.4043051833607503,0.8509044915789473,0.5631180736553876
1671,1221,2020-08-28,11496.2,0.011277269528501,0.0139296388269967,22.9721,-0.0157963737318344,0.0218487452515139,0.003271,0.0183686176836861,0.0200779236510272,394.52,0.020143252398314,0.0223128490486229,1.0,0.85184914,0.85184914,0.85184914,0.0,0.85184914,0.0
1677,1225,2020-08-29,11600.8,0.0090986586872181,0.0137338089943333,23.1085,0.0059376373949269,0.0218044676124358,0.00332,0.0149801284011006,0.0210672092755496,404.93,0.0263864949812431,0.0237703895529053,466.0,268.7328677,0.5766799736266094,0.6158439483333333,0.42954946104442,8.957762257,20.44945969001457
1676,1225,2020-08-29,11600.8,0.0090986586872181,0.0137338089943333,23.1085,0.0059376373949269,0.0218044676124358,0.00332,0.0149801284011006,0.0210672092755496,404.93,0.0263864949812431,0.0237703895529053,3141.0,1336.926306,0.4256371557593123,0.67763129,0.3584275483466707,668.4631531,933.4989709084095
